x;y;z;time
11,95; -1,31; 3,41; 2716615104
11,53; -2,03; 3,20; 2716615124
12,26; -2,36; 2,26; 2716615141
12,42; -2,58; 1,71; 2716615161
11,02; -3,52; 1,46; 2716615181
9,22; -4,11; 0,73; 2716615200
8,27; -4,28; 0,23; 2716615220
7,57; -3,17; 1,19; 2716615238
7,40; -0,75; 0,87; 2716615259
7,68; 0,65; -1,87; 2716615278
7,26; 1,05; -3,74; 2716615296
5,65; 0,45; -3,48; 2716615317
5,02; 0,05; -2,44; 2716615336
7,11; -0,27; -2,29; 2716615355
13,28; -2,73; -3,49; 2716615375
20,13; -5,59; -5,47; 2716615398
17,68; -4,41; -5,16; 2716615416
11,95; -2,87; -2,15; 2716615434
11,58; -0,63; -2,94; 2716615454
13,03; 1,53; -2,67; 2716615474
13,15; 2,83; -1,20; 2716615491
11,79; 2,31; -0,69; 2716615512
9,26; 2,51; -1,65; 2716615532
5,86; 3,20; -1,38; 2716615550
2,37; 2,68; -1,83; 2716615570
-0,42; 1,33; -1,49; 2716615590
-2,75; -0,18; -1,47; 2716615607
-3,64; -3,15; -2,23; 2716615627
3,22; -5,08; -5,28; 2716615647
15,44; -3,35; -11,12; 2716615668
26,78; 0,15; -0,74; 2716615687
20,86; 8,39; -4,68; 2716615705
10,26; 2,95; -2,16; 2716615725
7,30; -0,34; -1,40; 2716615744
8,75; -2,13; -2,61; 2716615764
8,77; -1,47; -1,63; 2716615783
7,56; -0,65; -1,74; 2716615804
6,13; 0,02; -2,89; 2716615822
3,99; 0,78; -2,80; 2716615841
2,49; -0,65; -2,32; 2716615861
5,30; -3,94; -5,01; 2716615883
15,90; -0,14; -7,09; 2716615900
24,86; 2,00; -7,20; 2716615917
15,20; 0,13; -4,88; 2716615939
9,56; 0,60; -3,37; 2716615958
9,27; 1,53; -2,88; 2716615978
10,36; 2,11; -2,17; 2716615997
9,48; 2,59; -2,41; 2716616020
7,45; 2,71; -1,82; 2716616034
4,18; 2,12; -2,30; 2716616056
1,34; 0,69; -1,02; 2716616073
-0,04; -0,10; -0,27; 2716616092
3,39; -0,07; -3,36; 2716616111
12,58; 1,01; -7,55; 2716616131
